Opp,FG%,3P%,Rebounds,Blocks,Points,win_rate,group,type,Name,Latitude,Longitude,win_rate_lab,avg_pt_LAB,avg_trb_LAB,avg_blk_LAB,id
ATL,49.6%,36.1%,7.9,0.9,29.6,0.8148148148148148,2003-2010 CLE,Team,Atlanta Hawks,33.757222,-84.396389,81.5%,29.6,7.9,0.9,1
ATL,53.8%,63.3%,7,0.3,29,0.6666666666666666,20,Age,Atlanta Hawks,33.757222,-84.396389,66.7%,29,7,0.3,1
ATL,45.2%,25.6%,10.2,0.8,26.3,0.8333333333333334,30,Age,Atlanta Hawks,33.757222,-84.396389,83.3%,26.3,10.2,0.8,1
ATL,50%,50%,5,1,23,1,22,Age,Atlanta Hawks,33.757222,-84.396389,100%,23,5,1,1
ATL,51.7%,17.4%,7.8,0.8,30,0.6,23,Age,Atlanta Hawks,33.757222,-84.396389,60%,30,7.8,0.8,1
ATL,50.7%,37.6%,7.7,1.3,26,0.7142857142857143,2018-Now LAL,Team,Atlanta Hawks,33.757222,-84.396389,71.4%,26,7.7,1.3,1
ATL,66.7%,43.3%,9.2,0.7,28.7,0.5,32,Age,Atlanta Hawks,33.757222,-84.396389,50%,28.7,9.2,0.7,1
ATL,51%,36.9%,8,0.3,28.4,0.7692307692307693,2010-2014 MIA,Team,Atlanta Hawks,33.757222,-84.396389,76.9%,28.4,8,0.3,1
ATL,45.9%,41.6%,4,0.5,15.5,0.5,36,Age,Atlanta Hawks,33.757222,-84.396389,50%,15.5,4,0.5,1
ATL,45%,16.7%,9.5,0,24,1,33,Age,Atlanta Hawks,33.757222,-84.396389,100%,24,9.5,0,1
ATL,54.2%,16.7%,8,3,32,1,37,Age,Atlanta Hawks,33.757222,-84.396389,100%,32,8,3,1
ATL,53.5%,47.1%,7.3,0,37,0.6666666666666666,26,Age,Atlanta Hawks,33.757222,-84.396389,66.7%,37,7.3,0,1
ATL,45.9%,23.1%,7,0,25.7,1,28,Age,Atlanta Hawks,33.757222,-84.396389,100%,25.7,7,0,1
ATL,50%,40%,8,0.8,30.8,1,19,Age,Atlanta Hawks,33.757222,-84.396389,100%,30.8,8,0.8,1
ATL,53.2%,41.4%,5.2,0.5,27.5,0.25,29,Age,Atlanta Hawks,33.757222,-84.396389,25%,27.5,5.2,0.5,1
ATL,48%,35.2%,8,1.5,32.5,0.75,21,Age,Atlanta Hawks,33.757222,-84.396389,75%,32.5,8,1.5,1
ATL,54.9%,35.9%,9.2,0.6,26.7,0.7272727272727273,2014-2018 CLE,Team,Atlanta Hawks,33.757222,-84.396389,72.7%,26.7,9.2,0.6,1
ATL,55.2%,66.7%,10,1,32.3,1,25,Age,Atlanta Hawks,33.757222,-84.396389,100%,32.3,10,1,1
ATL,54.4%,42.4%,9.3,0.6,26.1,0.8571428571428571,31,Age,Atlanta Hawks,33.757222,-84.396389,85.7%,26.1,9.3,0.6,1
ATL,48.3%,35.3%,7.7,0.9,28.1,1,24,Age,Atlanta Hawks,33.757222,-84.396389,100%,28.1,7.7,0.9,1
ATL,53%,43.3%,10.3,1.7,31,0.6666666666666666,34,Age,Atlanta Hawks,33.757222,-84.396389,66.7%,31,10.3,1.7,1
ATL,55.3%,20.8%,10.5,0.5,25.5,1,27,Age,Atlanta Hawks,33.757222,-84.396389,100%,25.5,10.5,0.5,1
ATL,18.8%,0%,6,1,15,0,18,Age,Atlanta Hawks,33.757222,-84.396389,0%,15,6,1,1
BKN,61.1%,50%,3.7,0.3,22,0.6666666666666666,31,Age,Brooklyn Nets,40.440015,-73.65773,66.7%,22,3.7,0.3,2
BKN,58.5%,25%,8.5,0.5,35.5,0,36,Age,Brooklyn Nets,40.440015,-73.65773,0%,35.5,8.5,0.5,2
BKN,60.7%,34.5%,11.7,0.3,34.7,0.6666666666666666,33,Age,Brooklyn Nets,40.440015,-73.65773,66.7%,34.7,11.7,0.3,2
BKN,56.8%,62.5%,8,0.5,25,0.5,28,Age,Brooklyn Nets,40.440015,-73.65773,50%,25,8,0.5,2
BKN,45.7%,27.1%,6.8,0.6,27.9,0.5862068965517241,2003-2010 CLE,Team,Brooklyn Nets,40.440015,-73.65773,58.6%,27.9,6.8,0.6,2
BKN,47.9%,30%,7.2,0.8,28.8,0,20,Age,Brooklyn Nets,40.440015,-73.65773,0%,28.8,7.2,0.8,2
BKN,44.4%,26%,7.2,0.4,26.5,0.625,22,Age,Brooklyn Nets,40.440015,-73.65773,62.5%,26.5,7.2,0.4,2
BKN,57.1%,39.7%,6.3,0.4,26.4,0.7857142857142857,2014-2018 CLE,Team,Brooklyn Nets,40.440015,-73.65773,78.6%,26.4,6.3,0.4,2
BKN,49.9%,26.2%,8.7,1.7,35.3,0.6666666666666666,23,Age,Brooklyn Nets,40.440015,-73.65773,66.7%,35.3,8.7,1.7,2
BKN,57.2%,37.6%,7.6,0.4,27.5,0.7058823529411765,2010-2014 MIA,Team,Brooklyn Nets,40.440015,-73.65773,70.6%,27.5,7.6,0.4,2
BKN,45.8%,35.6%,5.7,0.3,22,0.6666666666666666,30,Age,Brooklyn Nets,40.440015,-73.65773,66.7%,22,5.7,0.3,2
BKN,50.1%,48.3%,8.3,0,25,1,24,Age,Brooklyn Nets,40.440015,-73.65773,100%,25,8.3,0,2
BKN,51.9%,20%,5.8,0.6,25.8,1,25,Age,Brooklyn Nets,40.440015,-73.65773,100%,25.8,5.8,0.6,2
BKN,37.5%,30%,4.6,0,22.8,0.4,19,Age,Brooklyn Nets,40.440015,-73.65773,40%,22.8,4.6,0,2
BKN,66.7%,35.1%,7.5,1,32.2,0.75,32,Age,Brooklyn Nets,40.440015,-73.65773,75%,32.2,7.5,1,2
BKN,72.2%,0%,11,0,31,1,26,Age,Brooklyn Nets,40.440015,-73.65773,100%,31,11,0,2
BKN,32%,14.3%,9,1,25,0,34,Age,Brooklyn Nets,40.440015,-73.65773,0%,25,9,1,2
BKN,63.2%,53.3%,8.6,0.4,26.2,1,27,Age,Brooklyn Nets,40.440015,-73.65773,100%,26.2,8.6,0.4,2
BKN,50.9%,31.2%,6.3,0.3,28,0.5555555555555556,29,Age,Brooklyn Nets,40.440015,-73.65773,55.6%,28,6.3,0.3,2
BKN,54.9%,30.3%,9.9,0.9,31.6,0.2857142857142857,2018-Now LAL,Team,Brooklyn Nets,40.440015,-73.65773,28.6%,31.6,9.9,0.9,2
BKN,43.3%,11.1%,5.7,0.7,33.3,0.6666666666666666,21,Age,Brooklyn Nets,40.440015,-73.65773,66.7%,33.3,5.7,0.7,2
BKN,56.2%,47.2%,11.5,0.5,28,0.5,35,Age,Brooklyn Nets,40.440015,-73.65773,50%,28,11.5,0.5,2
BKN,66.7%,25%,7,2,33,1,37,Age,Brooklyn Nets,40.440015,-73.65773,100%,33,7,2,2
BOS,36.2%,22.7%,6.9,1.2,26.8,0.4,23,Age,Boston Celtics,42.366303,-71.062228,40%,26.8,6.9,1.2,3
BOS,49.5%,45.9%,5,1.5,35,1,22,Age,Boston Celtics,42.366303,-71.062228,100%,35,5,1.5,3
BOS,46.3%,12.5%,7,1.1,24.7,0.8571428571428571,30,Age,Boston Celtics,42.366303,-71.062228,85.7%,24.7,7,1.1,3
BOS,57.4%,39.8%,5.7,0.3,24.7,0.6666666666666666,36,Age,Boston Celtics,42.366303,-71.062228,66.7%,24.7,5.7,0.3,3
BOS,44.2%,30%,6.8,1.3,29.4,0.5277777777777778,2003-2010 CLE,Team,Boston Celtics,42.366303,-71.062228,52.8%,29.4,6.8,1.3,3
BOS,52.9%,32.8%,7.7,0.1,25.1,0.5714285714285714,2018-Now LAL,Team,Boston Celtics,42.366303,-71.062228,57.1%,25.1,7.7,0.1,3
BOS,51%,47.4%,5.2,2,31.5,0.5,24,Age,Boston Celtics,42.366303,-71.062228,50%,31.5,5.2,2,3
BOS,50.2%,37.5%,11.5,1.5,35.5,0.5,28,Age,Boston Celtics,42.366303,-71.062228,50%,35.5,11.5,1.5,3
BOS,47.5%,19.2%,5,0.8,23.5,0.5,19,Age,Boston Celtics,42.366303,-71.062228,50%,23.5,5,0.8,3
BOS,56%,18.8%,6,0.5,35,1,29,Age,Boston Celtics,42.366303,-71.062228,100%,35,6,0.5,3
BOS,56.5%,50%,6.5,1,34,1,20,Age,Boston Celtics,42.366303,-71.062228,100%,34,6.5,1,3
BOS,51%,25%,9,2.3,39,1,21,Age,Boston Celtics,42.366303,-71.062228,100%,39,9,2.3,3
BOS,51.8%,27.5%,8.1,1.2,29.1,0.7241379310344828,2014-2018 CLE,Team,Boston Celtics,42.366303,-71.062228,72.4%,29.1,8.1,1.2,3
BOS,51.5%,37.3%,8.7,1.1,30.9,0.5555555555555556,33,Age,Boston Celtics,42.366303,-71.062228,55.6%,30.9,8.7,1.1,3
BOS,49.7%,20.8%,8.2,1.2,27.8,0.75,31,Age,Boston Celtics,42.366303,-71.062228,75%,27.8,8.2,1.2,3
BOS,57.2%,31.5%,8.9,1.4,30.1,0.75,32,Age,Boston Celtics,42.366303,-71.062228,75%,30.1,8.9,1.4,3
BOS,44.1%,27.3%,8.4,1.3,30.5,0.3636363636363637,25,Age,Boston Celtics,42.366303,-71.062228,36.4%,30.5,8.4,1.3,3
BOS,54.4%,35%,11,0,29,0.5,34,Age,Boston Celtics,42.366303,-71.062228,50%,29,11,0,3
BOS,50.3%,28.2%,9.1,1.2,31,0.5714285714285714,2010-2014 MIA,Team,Boston Celtics,42.366303,-71.062228,57.1%,31,9.1,1.2,3
BOS,44.5%,20%,7.5,0,22,0.5,35,Age,Boston Celtics,42.366303,-71.062228,50%,22,7.5,0,3
BOS,52.7%,30.9%,10.4,1.1,33,0.5555555555555556,27,Age,Boston Celtics,42.366303,-71.062228,55.6%,33,10.4,1.1,3
BOS,37.5%,35%,4,0,23.5,0,18,Age,Boston Celtics,42.366303,-71.062228,0%,23.5,4,0,3
BOS,48.4%,26.9%,7.6,1.4,27,0.7142857142857143,26,Age,Boston Celtics,42.366303,-71.062228,71.4%,27,7.6,1.4,3
CHA,49.2%,23.2%,7.8,1.1,26,0.7619047619047619,2003-2010 CLE,Team,Charlotte Hornets,35.225,-80.839167,76.2%,26,7.8,1.1,4
CHA,51.8%,20%,8,0.5,27.5,1,20,Age,Charlotte Hornets,35.225,-80.839167,100%,27.5,8,0.5,4
CHA,53.5%,40.9%,8.6,1.2,29.1,0.9166666666666666,2014-2018 CLE,Team,Charlotte Hornets,35.225,-80.839167,91.7%,29.1,8.6,1.2,4
CHA,60.9%,44.4%,8,1,37,1,36,Age,Charlotte Hornets,35.225,-80.839167,100%,37,8,1,4
CHA,49.5%,27.4%,8.8,2,28,1,23,Age,Charlotte Hornets,35.225,-80.839167,100%,28,8.8,2,4
CHA,54.5%,35%,7.5,1,27.2,0.75,31,Age,Charlotte Hornets,35.225,-80.839167,75%,27.2,7.5,1,4
CHA,50%,45%,9.5,0.5,25,1,30,Age,Charlotte Hornets,35.225,-80.839167,100%,25,9.5,0.5,4
CHA,70%,16.7%,6.5,2,29,1,28,Age,Charlotte Hornets,35.225,-80.839167,100%,29,6.5,2,4
CHA,50.9%,35.5%,4,0.3,27.7,0.3333333333333333,25,Age,Charlotte Hornets,35.225,-80.839167,33.3%,27.7,4,0.3,4
CHA,50.3%,41.6%,11,0,32.5,1,33,Age,Charlotte Hornets,35.225,-80.839167,100%,32.5,11,0,4
CHA,53.1%,36.1%,9.2,1.5,30.5,1,32,Age,Charlotte Hornets,35.225,-80.839167,100%,30.5,9.2,1.5,4
CHA,43.6%,25.3%,9.2,1.2,28,0.8,21,Age,Charlotte Hornets,35.225,-80.839167,80%,28,9.2,1.2,4
CHA,53.9%,45.2%,4.5,0,23.5,1,34,Age,Charlotte Hornets,35.225,-80.839167,100%,23.5,4.5,0,4
CHA,56%,33.4%,7,0.5,22,1,19,Age,Charlotte Hornets,35.225,-80.839167,100%,22,7,0.5,4
CHA,57.1%,41%,7.7,0.6,34.6,1,29,Age,Charlotte Hornets,35.225,-80.839167,100%,34.6,7.7,0.6,4
CHA,53.9%,42%,7.2,0.2,27,1,2018-Now LAL,Team,Charlotte Hornets,35.225,-80.839167,100%,27,7.2,0.2,4
CHA,46.2%,11.1%,8,1.5,27.5,0.5,22,Age,Charlotte Hornets,35.225,-80.839167,50%,27.5,8,1.5,4
CHA,51.5%,9.5%,5.7,0.7,20,0.6666666666666666,24,Age,Charlotte Hornets,35.225,-80.839167,66.7%,20,5.7,0.7,4
CHA,56.3%,28.1%,7.6,0.6,30.8,1,2010-2014 MIA,Team,Charlotte Hornets,35.225,-80.839167,100%,30.8,7.6,0.6,4
CHA,45.6%,25%,10.5,1.5,23,1,27,Age,Charlotte Hornets,35.225,-80.839167,100%,23,10.5,1.5,4
CHA,55.9%,16.7%,8,0.3,26.7,1,26,Age,Charlotte Hornets,35.225,-80.839167,100%,26.7,8,0.3,4
CHI,44.7%,47.9%,6.2,1,30.5,0.75,20,Age,Chicago Bulls,41.880556,-87.674167,75%,30.5,6.2,1,5
CHI,58.4%,26.7%,9.7,1,28,0.3333333333333333,31,Age,Chicago Bulls,41.880556,-87.674167,33.3%,28,9.7,1,5
CHI,44%,12.4%,9.6,1.1,25.9,0.6,30,Age,Chicago Bulls,41.880556,-87.674167,60%,25.9,9.6,1.1,5
CHI,57.7%,25%,13,2,33,1,33,Age,Chicago Bulls,41.880556,-87.674167,100%,33,13,2,5
CHI,39.6%,12.5%,4.5,2,25,0.5,18,Age,Chicago Bulls,41.880556,-87.674167,50%,25,4.5,2,5
CHI,53.4%,33.3%,7,0,33.7,0.3333333333333333,22,Age,Chicago Bulls,41.880556,-87.674167,33.3%,33.7,7,0,5
CHI,42.6%,29.2%,4.2,1.8,20,0.5,19,Age,Chicago Bulls,41.880556,-87.674167,50%,20,4.2,1.8,5
CHI,46.7%,33.3%,8,1,36,1,29,Age,Chicago Bulls,41.880556,-87.674167,100%,36,8,1,5
CHI,47.5%,30.7%,7.2,1.3,29.6,0.625,2003-2010 CLE,Team,Chicago Bulls,41.880556,-87.674167,62.5%,29.6,7.2,1.3,5
CHI,47.7%,30.9%,8.1,1.4,26.3,0.5714285714285714,26,Age,Chicago Bulls,41.880556,-87.674167,57.1%,26.3,8.1,1.4,5
CHI,47.4%,4.8%,10.7,0.7,25.3,0.6666666666666666,36,Age,Chicago Bulls,41.880556,-87.674167,66.7%,25.3,10.7,0.7,5
CHI,50.4%,24.2%,8.9,0.9,28,0.6,2014-2018 CLE,Team,Chicago Bulls,41.880556,-87.674167,60%,28,8.9,0.9,5
CHI,57.9%,44.2%,6.6,0.2,29.6,0.6,32,Age,Chicago Bulls,41.880556,-87.674167,60%,29.6,6.6,0.2,5
CHI,46.8%,11.1%,8,1,29.7,1,21,Age,Chicago Bulls,41.880556,-87.674167,100%,29.7,8,1,5
CHI,49.6%,66.7%,8.2,0.8,31.8,0.5,27,Age,Chicago Bulls,41.880556,-87.674167,50%,31.8,8.2,0.8,5
CHI,53.3%,36.1%,9.5,2.3,31.3,0.8333333333333334,25,Age,Chicago Bulls,41.880556,-87.674167,83.3%,31.3,9.5,2.3,5
CHI,49.7%,39.5%,7.6,0.8,26.3,0.5909090909090909,2010-2014 MIA,Team,Chicago Bulls,41.880556,-87.674167,59.1%,26.3,7.6,0.8,5
CHI,52%,19.5%,10.4,0.6,28.4,0.8,2018-Now LAL,Team,Chicago Bulls,41.880556,-87.674167,80%,28.4,10.4,0.6,5
CHI,50.8%,26.4%,7,0.8,37.5,0.5,23,Age,Chicago Bulls,41.880556,-87.674167,50%,37.5,7,0.8,5
CHI,51%,35%,7.1,0.5,24.4,0.6363636363636364,28,Age,Chicago Bulls,41.880556,-87.674167,63.6%,24.4,7.1,0.5,5
CHI,41.5%,35.4%,9.2,1.2,23,0.5,24,Age,Chicago Bulls,41.880556,-87.674167,50%,23,9.2,1.2,5
CHI,58.9%,41.6%,10,0.5,33,1,34,Age,Chicago Bulls,41.880556,-87.674167,100%,33,10,0.5,5
CLE,58.6%,0%,10,1,38,1,37,Age,Cleveland Cavaliers,41.496389,-81.688056,100%,38,10,1,6
CLE,61.4%,28%,7.4,1,34.6,1,2018-Now LAL,Team,Cleveland Cavaliers,41.496389,-81.688056,100%,34.6,7.4,1,6
CLE,75%,33.3%,2,0,31,1,35,Age,Cleveland Cavaliers,41.496389,-81.688056,100%,31,2,0,6
CLE,46.7%,14.3%,9,0.5,29.5,1,25,Age,Cleveland Cavaliers,41.496389,-81.688056,100%,29.5,9,0.5,6
CLE,53.4%,27.1%,7.2,0.7,27.9,0.9166666666666666,2010-2014 MIA,Team,Cleveland Cavaliers,41.496389,-81.688056,91.7%,27.9,7.2,0.7,6
CLE,59.3%,36.8%,5.5,1.5,36,1,36,Age,Cleveland Cavaliers,41.496389,-81.688056,100%,36,5.5,1.5,6
CLE,55%,33.3%,14,1,32,1,33,Age,Cleveland Cavaliers,41.496389,-81.688056,100%,32,14,1,6
CLE,53.7%,31.2%,5.2,0.5,25,1,27,Age,Cleveland Cavaliers,41.496389,-81.688056,100%,25,5.2,0.5,6
CLE,47.6%,20%,10,0,27,0,26,Age,Cleveland Cavaliers,41.496389,-81.688056,0%,27,10,0,6
CLE,52.8%,19%,8,0.5,26.5,1,28,Age,Cleveland Cavaliers,41.496389,-81.688056,100%,26.5,8,0.5,6
CLE,73.7%,75%,6,3,43,1,29,Age,Cleveland Cavaliers,41.496389,-81.688056,100%,43,6,3,6
DAL,47.4%,44.4%,3,0,24,1,36,Age,Dallas Mavericks,32.790556,-96.810278,100%,24,3,0,7
DAL,60.7%,28.5%,8.5,1,41,0.5,21,Age,Dallas Mavericks,32.790556,-96.810278,50%,41,8.5,1,7
DAL,66.4%,66.6%,9,0.5,35.5,1,28,Age,Dallas Mavericks,32.790556,-96.810278,100%,35.5,9,0.5,7
DAL,41.8%,16.7%,5.5,0.8,26,0.25,22,Age,Dallas Mavericks,32.790556,-96.810278,25%,26,5.5,0.8,7
DAL,46.3%,19.8%,6.2,0.8,28.7,0.4615384615384616,2003-2010 CLE,Team,Dallas Mavericks,32.790556,-96.810278,46.2%,28.7,6.2,0.8,7
DAL,45.1%,25%,10,0.5,21,0.5,32,Age,Dallas Mavericks,32.790556,-96.810278,50%,21,10,0.5,7
DAL,49.6%,45%,7.5,0,23,1,31,Age,Dallas Mavericks,32.790556,-96.810278,100%,23,7.5,0,7
DAL,59.1%,0%,5,0,28,0,19,Age,Dallas Mavericks,32.790556,-96.810278,0%,28,5,0,7
DAL,50.2%,43.8%,11.5,0,28.5,1,35,Age,Dallas Mavericks,32.790556,-96.810278,100%,28.5,11.5,0,7
DAL,51.2%,35.9%,8.2,0.4,23.5,0.5384615384615384,2010-2014 MIA,Team,Dallas Mavericks,32.790556,-96.810278,53.8%,23.5,8.2,0.4,7
DAL,40%,0%,8,1,29,1,23,Age,Dallas Mavericks,32.790556,-96.810278,100%,29,8,1,7
DAL,47.4%,45.6%,9.2,0.3,21.8,0.8333333333333334,2014-2018 CLE,Team,Dallas Mavericks,32.790556,-96.810278,83.3%,21.8,9.2,0.3,7
DAL,47.2%,31.5%,9,0.3,25.7,0.6666666666666666,34,Age,Dallas Mavericks,32.790556,-96.810278,66.7%,25.7,9,0.3,7
DAL,42.4%,25%,7,0.5,28,0.5,20,Age,Dallas Mavericks,32.790556,-96.810278,50%,28,7,0.5,7
DAL,47%,28.9%,7.2,0.5,17.8,0.3333333333333333,26,Age,Dallas Mavericks,32.790556,-96.810278,33.3%,17.8,7.2,0.5,7
DAL,69.6%,50%,9,0,42,1,29,Age,Dallas Mavericks,32.790556,-96.810278,100%,42,9,0,7
DAL,71.4%,66.7%,7,1,27,1,30,Age,Dallas Mavericks,32.790556,-96.810278,100%,27,7,1,7
DAL,55.6%,42.9%,12,0,26,0,37,Age,Dallas Mavericks,32.790556,-96.810278,0%,26,12,0,7
DAL,43.3%,27.8%,4.7,1.3,24.7,0.6666666666666666,24,Age,Dallas Mavericks,32.790556,-96.810278,66.7%,24.7,4.7,1.3,7
DAL,30.8%,25%,9,0,21,0,25,Age,Dallas Mavericks,32.790556,-96.810278,0%,21,9,0,7
DAL,59.6%,30%,9,0.5,21.5,1,27,Age,Dallas Mavericks,32.790556,-96.810278,100%,21.5,9,0.5,7
DAL,46.3%,61.1%,7.7,0.3,24.3,1,33,Age,Dallas Mavericks,32.790556,-96.810278,100%,24.3,7.7,0.3,7
DAL,51.1%,42.9%,8.3,0.2,26.8,0.7777777777777778,2018-Now LAL,Team,Dallas Mavericks,32.790556,-96.810278,77.8%,26.8,8.3,0.2,7
DEN,67.8%,50%,5.5,0,22.5,0.5,32,Age,Denver Nuggets,39.748611,-105.0075,50%,22.5,5.5,0,8
DEN,44.2%,18%,9.5,2,39,0,25,Age,Denver Nuggets,39.748611,-105.0075,0%,39,9.5,2,8
DEN,39.1%,25%,9,2,25,0,37,Age,Denver Nuggets,39.748611,-105.0075,0%,25,9,2,8
DEN,44.6%,22.3%,7.2,0.6,27.2,0.16666666666666666,2003-2010 CLE,Team,Denver Nuggets,39.748611,-105.0075,16.7%,27.2,7.2,0.6,8
DEN,51.2%,20.8%,5,0,30.5,0.5,20,Age,Denver Nuggets,39.748611,-105.0075,50%,30.5,5,0,8
DEN,56.4%,20%,7.5,0,31.5,0.5,23,Age,Denver Nuggets,39.748611,-105.0075,50%,31.5,7.5,0,8
DEN,55.5%,39.5%,7.8,0.5,27.5,0.625,2014-2018 CLE,Team,Denver Nuggets,39.748611,-105.0075,62.5%,27.5,7.8,0.5,8
DEN,51.3%,25.8%,9.3,0.9,28,0.8571428571428571,35,Age,Denver Nuggets,39.748611,-105.0075,85.7%,28,9.3,0.9,8
DEN,54.2%,33.3%,6,1,34,1,30,Age,Denver Nuggets,39.748611,-105.0075,100%,34,6,1,8
DEN,60%,25%,6,0,33,1,26,Age,Denver Nuggets,39.748611,-105.0075,100%,33,6,0,8
DEN,47.3%,25.1%,7,1,22.8,0.5,29,Age,Denver Nuggets,39.748611,-105.0075,50%,22.8,7,1,8
DEN,45.8%,16.7%,4.7,0,25,0,22,Age,Denver Nuggets,39.748611,-105.0075,0%,25,4.7,0,8
DEN,29.4%,33.4%,8.5,1.5,13,0,18,Age,Denver Nuggets,39.748611,-105.0075,0%,13,8.5,1.5,8
DEN,63.2%,50%,11,0,33,1,31,Age,Denver Nuggets,39.748611,-105.0075,100%,33,11,0,8
DEN,56.6%,20%,10,1,24.5,0.5,36,Age,Denver Nuggets,39.748611,-105.0075,50%,24.5,10,1,8
DEN,48.5%,26.9%,9,0.5,26.5,0.5,33,Age,Denver Nuggets,39.748611,-105.0075,50%,26.5,9,0.5,8
DEN,53.3%,20%,7,2,27.3,0.6666666666666666,27,Age,Denver Nuggets,39.748611,-105.0075,66.7%,27.3,7,2,8
DEN,54.5%,26.8%,6.5,0.5,28,0.5,34,Age,Denver Nuggets,39.748611,-105.0075,50%,28,6.5,0.5,8
DEN,35%,33.3%,11,0,24,0,21,Age,Denver Nuggets,39.748611,-105.0075,0%,24,11,0,8
